date,state_name,vegetable_name,wholesale_price,retail_price,shoping_mall_price,unit,image
2024-05-17,maharashtra,Colocasia,28,32 - 36,34 - 46,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasia-64.png
2024-05-17,maharashtra,Coriander Leaves,9,10 - 11,11 - 15,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corianderleaves-64.png
2024-05-17,maharashtra,Corn,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corn-64.png
2024-05-17,maharashtra,Cucumber,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cucumber-64.png
2024-05-17,maharashtra,Curry Leaves,29,33 - 37,35 - 48,1kg,https://vegetablemarketprice.com/resource/images/vegetables/curryleaves-64.png
2024-05-17,maharashtra,Dill Leaves,13,15 - 17,16 - 21,1kg,https://vegetablemarketprice.com/resource/images/vegetables/dillleaves-64.png
2024-05-17,maharashtra,Drumsticks,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/drumsticks-64.png
2024-05-17,maharashtra,Brinjal,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjal-64.png
2024-05-17,maharashtra,Brinjal (Big),30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjalbig-64.png
2024-05-17,maharashtra,Elephant Yam,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/elephantyam-64.png
2024-05-17,maharashtra,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,https://vegetablemarketprice.com/resource/images/vegetables/fenugreekleaves-64.png
2024-05-17,maharashtra,French Beans,175,201 - 222,210 - 289,1kg,https://vegetablemarketprice.com/resource/images/vegetables/frenchbeans-64.png
2024-05-17,maharashtra,Garlic,269,309 - 342,323 - 444,1kg,https://vegetablemarketprice.com/resource/images/vegetables/garlic-64.png
2024-05-17,maharashtra,Ginger,138,159 - 175,166 - 228,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ginger-64.png
2024-05-17,maharashtra,Onion Green,38,44 - 48,46 - 63,1kg,https://vegetablemarketprice.com/resource/images/vegetables/oniongreen-64.png
2024-05-17,maharashtra,Green Peas,41,47 - 52,49 - 68,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenpeas-64.png
2024-05-17,maharashtra,Ivy Gourd,29,33 - 37,35 - 48,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ivygourd-64.png
2024-05-17,maharashtra,Lemon (Lime),99,114 - 126,119 - 163,1kg,https://vegetablemarketprice.com/resource/images/vegetables/lemon-64.png
2024-05-17,maharashtra,Mango Raw,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mangoraw-64.png
2024-05-17,maharashtra,Mint Leaves,4,5 - 5,5 - 7,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mintleaves-64.png
2024-05-17,maharashtra,Mushroom,81,93 - 103,97 - 134,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mushroom-64.png
2024-05-17,maharashtra,Mustard Leaves,18,21 - 23,22 - 30,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mustardleaves-64.png
2024-05-17,maharashtra,Ladies Finger,45,52 - 57,54 - 74,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ladiesfinger-64.png
2024-05-17,maharashtra,Pumpkin,19,22 - 24,23 - 31,1kg,https://vegetablemarketprice.com/resource/images/vegetables/pumpkin-64.png
2024-05-17,maharashtra,Radish,37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/radish-64.png
2024-05-17,maharashtra,Ridge Gourd,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ridgegourd-64.png
2024-05-17,maharashtra,Shallot (Pearl Onion),37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/shallot-64.png
2024-05-17,maharashtra,Snake Gourd,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/snakegourd-64.png
2024-05-17,maharashtra,Sorrel Leaves,10,12 - 13,12 - 17,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sorrelleaves-64.png
2024-05-17,maharashtra,Spinach,10,12 - 13,12 - 17,1kg,https://vegetablemarketprice.com/resource/images/vegetables/spinach-64.png
2024-05-17,maharashtra,Sweet Potato,38,44 - 48,46 - 63,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sweetpotato-64.png
2024-05-18,maharashtra,Onion Big,24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionbig-64.png
2024-05-18,maharashtra,Onion Small,37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionsmall-64.png
2024-05-18,maharashtra,Tomato,20,23 - 25,24 - 33,1kg,https://vegetablemarketprice.com/resource/images/vegetables/tomato-64.png
2024-05-18,maharashtra,Green Chilli,69,79 - 88,83 - 114,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenchili-64.png
2024-05-18,maharashtra,Beetroot,37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/beetroot-64.png
2024-05-18,maharashtra,Potato,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/potato-64.png
2024-05-18,maharashtra,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,https://vegetablemarketprice.com/resource/images/vegetables/plantain-64.png
2024-05-18,maharashtra,Amaranth Leaves,15,17 - 19,18 - 25,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amaranthleaves-64.png
2024-05-18,maharashtra,Amla,65,75 - 83,78 - 107,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amla-64.png
2024-05-18,maharashtra,Ash gourd,24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ashgourd-64.png
2024-05-18,maharashtra,Baby Corn,58,67 - 74,70 - 96,1kg,https://vegetablemarketprice.com/resource/images/vegetables/babycorn-64.png
2024-05-18,maharashtra,Banana Flower,18,21 - 23,22 - 30,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bananaflower-64.png
2024-05-18,maharashtra,Capsicum,48,55 - 61,58 - 79,1kg,https://vegetablemarketprice.com/resource/images/vegetables/capsicum-64.png
2024-05-18,maharashtra,Bitter Gourd,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bittergourd-64.png
2024-05-18,maharashtra,Bottle Gourd,31,36 - 39,37 - 51,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bottlegourd-64.png
2024-05-18,maharashtra,Butter Beans,54,62 - 69,65 - 89,1kg,https://vegetablemarketprice.com/resource/images/vegetables/butterbeans-64.png
2024-05-18,maharashtra,Broad Beans,69,79 - 88,83 - 114,1kg,https://vegetablemarketprice.com/resource/images/vegetables/broadbeans-64.png
2024-05-18,maharashtra,Cabbage,31,36 - 39,37 - 51,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cabbage-64.png
2024-05-18,maharashtra,Carrot,43,49 - 55,52 - 71,1kg,https://vegetablemarketprice.com/resource/images/vegetables/carrot-64.png
2024-05-18,maharashtra,Cauliflower,25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cauliflower-64.png
2024-05-18,maharashtra,Cluster beans,42,48 - 53,50 - 69,1kg,https://vegetablemarketprice.com/resource/images/vegetables/clusterbeans-64.png
2024-05-18,maharashtra,Coconut,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/coconut-64.png
2024-05-18,maharashtra,Colocasia Leaves,14,16 - 18,17 - 23,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasialeaves-64.png
2024-05-18,maharashtra,Colocasia,28,32 - 36,34 - 46,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasia-64.png
2024-05-18,maharashtra,Coriander Leaves,9,10 - 11,11 - 15,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corianderleaves-64.png
2024-05-18,maharashtra,Corn,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corn-64.png
2024-05-18,maharashtra,Cucumber,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cucumber-64.png
2024-05-18,maharashtra,Curry Leaves,29,33 - 37,35 - 48,1kg,https://vegetablemarketprice.com/resource/images/vegetables/curryleaves-64.png
2024-05-18,maharashtra,Dill Leaves,13,15 - 17,16 - 21,1kg,https://vegetablemarketprice.com/resource/images/vegetables/dillleaves-64.png
2024-05-18,maharashtra,Drumsticks,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/drumsticks-64.png
2024-05-18,maharashtra,Brinjal,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjal-64.png
2024-05-18,maharashtra,Brinjal (Big),30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjalbig-64.png
2024-05-18,maharashtra,Elephant Yam,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/elephantyam-64.png
2024-05-18,maharashtra,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,https://vegetablemarketprice.com/resource/images/vegetables/fenugreekleaves-64.png
2024-05-18,maharashtra,French Beans,175,201 - 222,210 - 289,1kg,https://vegetablemarketprice.com/resource/images/vegetables/frenchbeans-64.png
2024-05-18,maharashtra,Garlic,269,309 - 342,323 - 444,1kg,https://vegetablemarketprice.com/resource/images/vegetables/garlic-64.png
2024-05-18,maharashtra,Ginger,138,159 - 175,166 - 228,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ginger-64.png
2024-05-18,maharashtra,Onion Green,38,44 - 48,46 - 63,1kg,https://vegetablemarketprice.com/resource/images/vegetables/oniongreen-64.png
2024-05-18,maharashtra,Green Peas,41,47 - 52,49 - 68,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenpeas-64.png
2024-05-18,maharashtra,Ivy Gourd,29,33 - 37,35 - 48,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ivygourd-64.png
2024-05-18,maharashtra,Lemon (Lime),99,114 - 126,119 - 163,1kg,https://vegetablemarketprice.com/resource/images/vegetables/lemon-64.png
2024-05-18,maharashtra,Mango Raw,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mangoraw-64.png
2024-05-18,maharashtra,Mint Leaves,4,5 - 5,5 - 7,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mintleaves-64.png
2024-05-18,maharashtra,Mushroom,81,93 - 103,97 - 134,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mushroom-64.png
2024-05-18,maharashtra,Mustard Leaves,18,21 - 23,22 - 30,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mustardleaves-64.png
2024-05-18,maharashtra,Ladies Finger,45,52 - 57,54 - 74,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ladiesfinger-64.png
2024-05-18,maharashtra,Pumpkin,19,22 - 24,23 - 31,1kg,https://vegetablemarketprice.com/resource/images/vegetables/pumpkin-64.png
2024-05-18,maharashtra,Radish,37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/radish-64.png
2024-05-18,maharashtra,Ridge Gourd,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ridgegourd-64.png
2024-05-18,maharashtra,Shallot (Pearl Onion),37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/shallot-64.png
2024-05-18,maharashtra,Snake Gourd,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/snakegourd-64.png
2024-05-18,maharashtra,Sorrel Leaves,10,12 - 13,12 - 17,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sorrelleaves-64.png
2024-05-18,maharashtra,Spinach,10,12 - 13,12 - 17,1kg,https://vegetablemarketprice.com/resource/images/vegetables/spinach-64.png
2024-05-18,maharashtra,Sweet Potato,38,44 - 48,46 - 63,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sweetpotato-64.png
2024-05-19,maharashtra,Onion Big,24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionbig-64.png
2024-05-19,maharashtra,Onion Small,37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionsmall-64.png
2024-05-19,maharashtra,Tomato,20,23 - 25,24 - 33,1kg,https://vegetablemarketprice.com/resource/images/vegetables/tomato-64.png
2024-05-19,maharashtra,Green Chilli,69,79 - 88,83 - 114,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenchili-64.png
2024-05-19,maharashtra,Beetroot,37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/beetroot-64.png
2024-05-19,maharashtra,Potato,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/potato-64.png
2024-05-19,maharashtra,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,https://vegetablemarketprice.com/resource/images/vegetables/plantain-64.png
2024-05-19,maharashtra,Amaranth Leaves,15,17 - 19,18 - 25,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amaranthleaves-64.png
2024-05-19,maharashtra,Amla,65,75 - 83,78 - 107,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amla-64.png
2024-05-19,maharashtra,Ash gourd,24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ashgourd-64.png
2024-05-19,maharashtra,Baby Corn,58,67 - 74,70 - 96,1kg,https://vegetablemarketprice.com/resource/images/vegetables/babycorn-64.png
2024-05-19,maharashtra,Banana Flower,18,21 - 23,22 - 30,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bananaflower-64.png
2024-05-19,maharashtra,Capsicum,48,55 - 61,58 - 79,1kg,https://vegetablemarketprice.com/resource/images/vegetables/capsicum-64.png
2024-05-19,maharashtra,Bitter Gourd,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bittergourd-64.png
2024-05-19,maharashtra,Bottle Gourd,31,36 - 39,37 - 51,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bottlegourd-64.png
2024-05-19,maharashtra,Butter Beans,54,62 - 69,65 - 89,1kg,https://vegetablemarketprice.com/resource/images/vegetables/butterbeans-64.png
2024-05-19,maharashtra,Broad Beans,69,79 - 88,83 - 114,1kg,https://vegetablemarketprice.com/resource/images/vegetables/broadbeans-64.png
2024-05-19,maharashtra,Cabbage,31,36 - 39,37 - 51,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cabbage-64.png
2024-05-19,maharashtra,Carrot,43,49 - 55,52 - 71,1kg,https://vegetablemarketprice.com/resource/images/vegetables/carrot-64.png
2024-05-19,maharashtra,Cauliflower,25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cauliflower-64.png
2024-05-19,maharashtra,Cluster beans,42,48 - 53,50 - 69,1kg,https://vegetablemarketprice.com/resource/images/vegetables/clusterbeans-64.png
2024-05-19,maharashtra,Coconut,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/coconut-64.png
2024-05-19,maharashtra,Colocasia Leaves,14,16 - 18,17 - 23,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasialeaves-64.png
2024-05-19,maharashtra,Colocasia,28,32 - 36,34 - 46,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasia-64.png
2024-05-19,maharashtra,Coriander Leaves,9,10 - 11,11 - 15,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corianderleaves-64.png
2024-05-19,maharashtra,Corn,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corn-64.png
2024-05-19,maharashtra,Cucumber,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cucumber-64.png
2024-05-19,maharashtra,Curry Leaves,29,33 - 37,35 - 48,1kg,https://vegetablemarketprice.com/resource/images/vegetables/curryleaves-64.png
2024-05-19,maharashtra,Dill Leaves,13,15 - 17,16 - 21,1kg,https://vegetablemarketprice.com/resource/images/vegetables/dillleaves-64.png
2024-05-19,maharashtra,Drumsticks,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/drumsticks-64.png
2024-05-19,maharashtra,Brinjal,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjal-64.png
2024-05-19,maharashtra,Brinjal (Big),30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjalbig-64.png
2024-05-19,maharashtra,Elephant Yam,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/elephantyam-64.png
2024-05-19,maharashtra,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,https://vegetablemarketprice.com/resource/images/vegetables/fenugreekleaves-64.png
2024-05-19,maharashtra,French Beans,175,201 - 222,210 - 289,1kg,https://vegetablemarketprice.com/resource/images/vegetables/frenchbeans-64.png
2024-05-19,maharashtra,Garlic,269,309 - 342,323 - 444,1kg,https://vegetablemarketprice.com/resource/images/vegetables/garlic-64.png
2024-05-19,maharashtra,Ginger,138,159 - 175,166 - 228,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ginger-64.png
2024-05-19,maharashtra,Onion Green,38,44 - 48,46 - 63,1kg,https://vegetablemarketprice.com/resource/images/vegetables/oniongreen-64.png
2024-05-19,maharashtra,Green Peas,41,47 - 52,49 - 68,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenpeas-64.png
2024-05-19,maharashtra,Ivy Gourd,29,33 - 37,35 - 48,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ivygourd-64.png
2024-05-19,maharashtra,Lemon (Lime),99,114 - 126,119 - 163,1kg,https://vegetablemarketprice.com/resource/images/vegetables/lemon-64.png
2024-05-19,maharashtra,Mango Raw,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mangoraw-64.png
2024-05-19,maharashtra,Mint Leaves,4,5 - 5,5 - 7,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mintleaves-64.png
2024-05-19,maharashtra,Mushroom,81,93 - 103,97 - 134,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mushroom-64.png
2024-05-19,maharashtra,Mustard Leaves,18,21 - 23,22 - 30,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mustardleaves-64.png
2024-05-19,maharashtra,Ladies Finger,45,52 - 57,54 - 74,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ladiesfinger-64.png
2024-05-19,maharashtra,Pumpkin,19,22 - 24,23 - 31,1kg,https://vegetablemarketprice.com/resource/images/vegetables/pumpkin-64.png
2024-05-19,maharashtra,Radish,37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/radish-64.png
2024-05-19,maharashtra,Ridge Gourd,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ridgegourd-64.png
2024-05-19,maharashtra,Shallot (Pearl Onion),37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/shallot-64.png
2024-05-19,maharashtra,Snake Gourd,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/snakegourd-64.png
2024-05-19,maharashtra,Sorrel Leaves,10,12 - 13,12 - 17,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sorrelleaves-64.png
2024-05-19,maharashtra,Spinach,10,12 - 13,12 - 17,1kg,https://vegetablemarketprice.com/resource/images/vegetables/spinach-64.png
2024-05-19,maharashtra,Sweet Potato,38,44 - 48,46 - 63,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sweetpotato-64.png
2024-05-20,maharashtra,Onion Big,23,26 - 29,28 - 38,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionbig-64.png
2024-05-20,maharashtra,Onion Small,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionsmall-64.png
2024-05-20,maharashtra,Tomato,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/tomato-64.png
2024-05-20,maharashtra,Green Chilli,69,79 - 88,83 - 114,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenchili-64.png
2024-05-20,maharashtra,Beetroot,37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/beetroot-64.png
2024-05-20,maharashtra,Potato,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/potato-64.png
2024-05-20,maharashtra,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg,https://vegetablemarketprice.com/resource/images/vegetables/plantain-64.png
2024-05-20,maharashtra,Amaranth Leaves,10,12 - 13,12 - 17,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amaranthleaves-64.png
2024-05-20,maharashtra,Amla,65,75 - 83,78 - 107,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amla-64.png
2024-05-20,maharashtra,Ash gourd,22,25 - 28,26 - 36,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ashgourd-64.png
2024-05-20,maharashtra,Baby Corn,62,71 - 79,74 - 102,1kg,https://vegetablemarketprice.com/resource/images/vegetables/babycorn-64.png
2024-05-20,maharashtra,Banana Flower,20,23 - 25,24 - 33,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bananaflower-64.png
2024-05-20,maharashtra,Capsicum,49,56 - 62,59 - 81,1kg,https://vegetablemarketprice.com/resource/images/vegetables/capsicum-64.png
2024-05-20,maharashtra,Bitter Gourd,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bittergourd-64.png
2024-05-20,maharashtra,Bottle Gourd,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bottlegourd-64.png
2024-05-20,maharashtra,Butter Beans,50,58 - 64,60 - 83,1kg,https://vegetablemarketprice.com/resource/images/vegetables/butterbeans-64.png
2024-05-20,maharashtra,Broad Beans,70,81 - 89,84 - 116,1kg,https://vegetablemarketprice.com/resource/images/vegetables/broadbeans-64.png
2024-05-20,maharashtra,Cabbage,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cabbage-64.png
2024-05-20,maharashtra,Carrot,42,48 - 53,50 - 69,1kg,https://vegetablemarketprice.com/resource/images/vegetables/carrot-64.png
2024-05-20,maharashtra,Cauliflower,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cauliflower-64.png
2024-05-20,maharashtra,Cluster beans,43,49 - 55,52 - 71,1kg,https://vegetablemarketprice.com/resource/images/vegetables/clusterbeans-64.png
2024-05-20,maharashtra,Coconut,35,40 - 44,42 - 58,1kg,https://vegetablemarketprice.com/resource/images/vegetables/coconut-64.png
2024-05-20,maharashtra,Colocasia Leaves,12,14 - 15,14 - 20,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasialeaves-64.png
2024-05-20,maharashtra,Colocasia,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasia-64.png
2024-05-20,maharashtra,Coriander Leaves,5,6 - 6,6 - 8,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corianderleaves-64.png
2024-05-20,maharashtra,Corn,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corn-64.png
2024-05-20,maharashtra,Cucumber,24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cucumber-64.png
2024-05-20,maharashtra,Curry Leaves,25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/curryleaves-64.png
2024-05-20,maharashtra,Dill Leaves,11,13 - 14,13 - 18,1kg,https://vegetablemarketprice.com/resource/images/vegetables/dillleaves-64.png
2024-05-20,maharashtra,Drumsticks,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/drumsticks-64.png
2024-05-20,maharashtra,Brinjal,35,40 - 44,42 - 58,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjal-64.png
2024-05-20,maharashtra,Brinjal (Big),34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjalbig-64.png
2024-05-20,maharashtra,Elephant Yam,37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/elephantyam-64.png
2024-05-20,maharashtra,Fenugreek Leaves,12,14 - 15,14 - 20,1kg,https://vegetablemarketprice.com/resource/images/vegetables/fenugreekleaves-64.png
2024-05-20,maharashtra,French Beans,174,200 - 221,209 - 287,1kg,https://vegetablemarketprice.com/resource/images/vegetables/frenchbeans-64.png
2024-05-20,maharashtra,Garlic,264,304 - 335,317 - 436,1kg,https://vegetablemarketprice.com/resource/images/vegetables/garlic-64.png
2024-05-20,maharashtra,Ginger,131,151 - 166,157 - 216,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ginger-64.png
2024-05-20,maharashtra,Onion Green,46,53 - 58,55 - 76,1kg,https://vegetablemarketprice.com/resource/images/vegetables/oniongreen-64.png
2024-05-20,maharashtra,Green Peas,50,58 - 64,60 - 83,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenpeas-64.png
2024-05-20,maharashtra,Ivy Gourd,28,32 - 36,34 - 46,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ivygourd-64.png
2024-05-20,maharashtra,Lemon (Lime),97,112 - 123,116 - 160,1kg,https://vegetablemarketprice.com/resource/images/vegetables/lemon-64.png
2024-05-20,maharashtra,Mango Raw,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mangoraw-64.png
2024-05-20,maharashtra,Mint Leaves,4,5 - 5,5 - 7,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mintleaves-64.png
2024-05-20,maharashtra,Mushroom,73,84 - 93,88 - 120,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mushroom-64.png
2024-05-20,maharashtra,Mustard Leaves,12,14 - 15,14 - 20,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mustardleaves-64.png
2024-05-20,maharashtra,Ladies Finger,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ladiesfinger-64.png
2024-05-20,maharashtra,Pumpkin,19,22 - 24,23 - 31,1kg,https://vegetablemarketprice.com/resource/images/vegetables/pumpkin-64.png
2024-05-20,maharashtra,Radish,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/radish-64.png
2024-05-20,maharashtra,Ridge Gourd,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ridgegourd-64.png
2024-05-20,maharashtra,Shallot (Pearl Onion),31,36 - 39,37 - 51,1kg,https://vegetablemarketprice.com/resource/images/vegetables/shallot-64.png
2024-05-20,maharashtra,Snake Gourd,35,40 - 44,42 - 58,1kg,https://vegetablemarketprice.com/resource/images/vegetables/snakegourd-64.png
2024-05-20,maharashtra,Sorrel Leaves,13,15 - 17,16 - 21,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sorrelleaves-64.png
2024-05-20,maharashtra,Spinach,14,16 - 18,17 - 23,1kg,https://vegetablemarketprice.com/resource/images/vegetables/spinach-64.png
2024-05-20,maharashtra,Sweet Potato,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sweetpotato-64.png
2024-05-21,maharashtra,Onion Big,23,26 - 29,28 - 38,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionbig-64.png
