date,state_name,vegetable_name,wholesale_price,retail_price,shoping_mall_price,unit,image
2024-05-02,maharashtra,Radish,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/radish-64.png
2024-05-02,maharashtra,Ridge Gourd,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ridgegourd-64.png
2024-05-02,maharashtra,Shallot (Pearl Onion),29,33 - 37,35 - 48,1kg,https://vegetablemarketprice.com/resource/images/vegetables/shallot-64.png
2024-05-02,maharashtra,Snake Gourd,22,25 - 28,26 - 36,1kg,https://vegetablemarketprice.com/resource/images/vegetables/snakegourd-64.png
2024-05-02,maharashtra,Sorrel Leaves,13,15 - 17,16 - 21,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sorrelleaves-64.png
2024-05-02,maharashtra,Spinach,12,14 - 15,14 - 20,1kg,https://vegetablemarketprice.com/resource/images/vegetables/spinach-64.png
2024-05-02,maharashtra,Sweet Potato,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sweetpotato-64.png
2024-05-03,maharashtra,Onion Big,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionbig-64.png
2024-05-03,maharashtra,Onion Small,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionsmall-64.png
2024-05-03,maharashtra,Tomato,25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/tomato-64.png
2024-05-03,maharashtra,Green Chilli,43,49 - 55,52 - 71,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenchili-64.png
2024-05-03,maharashtra,Beetroot,38,44 - 48,46 - 63,1kg,https://vegetablemarketprice.com/resource/images/vegetables/beetroot-64.png
2024-05-03,maharashtra,Potato,31,36 - 39,37 - 51,1kg,https://vegetablemarketprice.com/resource/images/vegetables/potato-64.png
2024-05-03,maharashtra,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,https://vegetablemarketprice.com/resource/images/vegetables/plantain-64.png
2024-05-03,maharashtra,Amaranth Leaves,14,16 - 18,17 - 23,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amaranthleaves-64.png
2024-05-03,maharashtra,Amla,65,75 - 83,78 - 107,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amla-64.png
2024-05-03,maharashtra,Ash gourd,23,26 - 29,28 - 38,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ashgourd-64.png
